question,expected
Apakah ada fenomena langit merah di Indonesia akhir-akhir ini?,"Ya, Di Pandeglang (18/12/2025)"
Apa faktor utama yang menyebabkan tingginya kasus penyakit kulit di lokasi pengungsian Sumatera Utara?,"Kondisi lingkungan pascabanjir, keterbatasan sanitasi, paparan air kotor, serta kepadatan di tempat pengungsian."
Berapa total estimasi kerugian ekonomi akibat banjir dan longsor di Sumatera Utara menurut pemerintah provinsi setempat?,"Total estimasi kerugian mencapai Rp18,37 triliun."
"Mengapa kebocoran data pada aplikasi ""Dewa Matel"" dianggap sebagai pelanggaran luar biasa oleh pengamat keamanan siber?","Karena data sensitif kendaraan dapat diakses secara bebas oleh orang awam tanpa pembatasan ketat, yang mengancam keamanan data pribadi."
"Apa tujuan utama BRIN membangun Bandar Antariksa Nasional di Pulau Biak, Papua?","Untuk meningkatkan kemandirian dan ekonomi antariksa Indonesia, serta sejalan dengan visi Indonesia Emas 2045."
Berapa panjang jembatan yang direncanakan akan menghubungkan Melaka (Malaysia) dengan Dumai (Sumatera) dan kapan pembangunannya dimulai?,"Jembatan tersebut direncanakan sepanjang 47,7 km (bagian dari jalur 120 km) dan pembangunannya direncanakan mulai pada Januari 2026."
Apa alasan Ahok menolak rencana penanaman sawit di hutan Papua?,Karena ia ingin menjaga keberlangsungan flora dan fauna di Papua agar tetap memiliki tempat untuk hidup.
Sebutkan jenis bantuan logistik yang dikirimkan oleh Siti Nurhaliza melalui Yayasan Nurjiwa untuk korban banjir di Aceh!,"Beras, minyak goreng, baju, selimut, biskuit, susu, popok, air mineral, sarden, mi instan, genset, dan obat-obatan."
Kabupaten/Kota mana saja di Sumatera Utara yang mengalami kerusakan paling parah akibat bencana banjir dan longsor?,"Tapanuli Selatan, Tapanuli Tengah, Tapanuli Utara, Mandailing Natal, Humbang Hasundutan, Langkat, dan Kota Sibolga."
Perjanjian perdagangan apa yang baru saja ditandatangani Indonesia dengan negara-negara yang dipimpin Rusia?,"Perjanjian Perdagangan Bebas (FTA) dengan Eurasian Economic Union (EAEU) yang mencakup Rusia, Armenia, Belarus, Kazakhstan, dan Kyrgyzstan."
Berapa jumlah total pengungsi akibat banjir di Sumatra hingga tanggal 22 Desember 2025 berdasarkan data yang ada?,"Terdapat 502.570 orang mengungsi, dengan jumlah korban meninggal mencapai 1.106 jiwa."
Apa rencana Megawati Soekarnoputri untuk membantu siswa korban banjir di Sumatra yang sekolahnya rusak?,Megawati berencana membangun sekolah sementara dari tenda agar anak-anak didik tetap bisa belajar dan tidak ketinggalan pelajaran meskipun sekolah mereka hancur.
"Berapa perkiraan biaya pembangunan bendungan raksasa China di Sungai Yarlung Zangbo, Tibet?","Proyek tersebut diperkirakan menghabiskan biaya sekitar 1,2 triliun yuan atau setara dengan Rp2.832 triliun."
Berapa jumlah unit hunian sementara (huntara) yang disiapkan pemerintah untuk pengungsi di Provinsi Aceh?,Pemerintah menyiapkan sebanyak 36.328 unit huntara untuk pengungsi di Provinsi Aceh.
Apa yang akan dilakukan Pemerintah Kabupaten Aceh Tengah terhadap warga Desa Kutereje yang hilang diterjang banjir?,Pemkab Aceh Tengah akan merelokasi masyarakat Desa Kutereje ke lokasi yang lebih aman dan layak karena kondisi desa yang lama sudah hilang tak bersisa.
Apa penjelasan ilmiah BMKG mengenai fenomena langit merah yang terjadi di Pandeglang?,"Fenomena tersebut adalah fenomena optik atmosfer yang disebut Hamburan Rayleigh, yang terjadi karena pembiasan cahaya matahari saat posisi rendah (menjelang terbenam)"
Berapa jumlah korban meninggal dunia akibat banjir di Sumatra berdasarkan data hingga 22 Desember 2025?,Jumlah korban meninggal dunia mencapai 1.106 orang
"Berdasarkan laporan perbandingan militer, apa keunggulan strategi Kamboja saat menghadapi Thailand?",Kamboja menunjukkan strategi bertahan melalui penggelaran roket artileri dalam jumlah besar serta penggunaan posisi geografis untuk taktik asimetris.
Kapan pertemuan Komite Perbatasan Umum (GBC) antara Thailand dan Kamboja dijadwalkan untuk membahas gencatan senjata?,Pertemuan tersebut dijadwalkan berlangsung pada tanggal 24 Desember 2025.
Negara mana saja yang merasa khawatir dengan pembangunan bendungan raksasa China di Tibet?,"India dan Bangladesh, karena mereka khawatir aliran air sungai dapat ditahan atau dialihkan dari wilayah mereka."
Berapa jumlah total warga Kamboja yang mengungsi dari daerah berisiko tinggi akibat bentrokan dengan Thailand di beberapa provinsi?,"Sebanyak 35.829 warga sipil Kamboja telah mengungsi dari Provinsi Preah Vihear, Oddar Meanchey, dan Pursat."
